teacher_prefix,school_state,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
Ms.,OK,Grades 3-5,Special Needs,Special Needs,A Laminator for the World Changers,"I teach at  Title I school in Tulsa, Oklahoma where I have the pleasure of educating 35 amazing special education students. They are all classified as special education but have ENORMOUS potential. \r\nMany of my students face unimaginable challenges daily, but they still come to school each day with a smile on their face, ready to learn. They are resilient.\r\nI pull students for reading and math help from first through fourth grades. They receive small group and one-on-one attention to help them excel.\r\n",My students need a laminator for the entire school to use.,10,0
Ms.,IA,Grades 9-12,History & Civics,"Civics & Government, History & Geography",Give Knowledge of the World,"My students are bright, excited and eager to learn. They live in rural areas and are land-locked so traveling to other parts of the world is difficult and expensive. \r\n\r\nMy students often come from low-income families who struggle to provide experiences and materials that will help them see the world. They are high school students, about to enter the great big world. They need some help in deciphering that world. \r\n\r\nThat's where you come in. We are a highly energetic and creative bunch but we need the proper materials to bring history to life.",My students need textbooks for the exploration of world history. We currently don't have any textbooks as previous ones became damaged and were tossed. They have not been replaced in over 14 years.,2,1
Mrs.,CA,Grades 3-5,"Literacy & Language, Special Needs","Literacy, Special Needs","Multimedia, Apps, and a Game",My students need new ways to learn. Research indicates technology and games help improve student engagement.,"My students need multimedia comprehension materials, apps, and a game to improve their learning.",2,0
Teacher,TX,Grades PreK-2,Applied Learning,"Community Service, Early Development",Enhancing child development through pretend play,"My students are inner-city students that have few life experiences.  Since young children primarily learn through PLAY, it is extremely important that they have the resources necessary to allow that to happen.  \r\nOne of the greatest areas of exploration for preschool students is the dramatic play center.  In this center, students can use their imagination and materials to be anything they want to be in the \""home\"" center, the coffee shop, the veterinarian's office, the doctor's office, or a home improvement center.\r\nThrough dramatic play, students become excited and interact with others.  They learn without even realizing they are learning!  The excitement of the students helps to motivate them to explore and expand their knowledge as well.",My students need adequate tools to enhance their pretend play as well as a place to organize and store these items.,0,0
Ms.,GA,Grades 6-8,History & Civics,"History & Geography, Social Sciences",A Picture = 1000s of Words,"My class is 90% African-American, 5% Hispanic, 4% Multicultural, and 1% Caucasian. The school is surrounded by very few homeowners and many renters. Our biggest community are transient students who have transferred to more than one school within a school year. Many of my students are siblings of previous students who have attended my school or class, so I have a close relationship with their parents. I teach students who are reading below their grade level and I teach students who are reading way above their grade level, so differentation is consistent in my classroom.\r\n\r\n  My students bring out the best in me - DAILY! My students are often met with peer pressure at school and at home. The rise of recent gang activities has made it clear to me, that my students need more after-school activities at school (a safe environment) than gang activities in their neighborhoods.",My students need these items for creative projects to support their need to create artifacts of knowledge.,0,1
Mrs.,ME,Grades 3-5,Literacy & Language,Literature & Writing,New Books for Motivated Readers,"Do you remember your favorite book as a child? Did you have one book that you just couldn't put down? Many of my students love to read, but some still have not found that special book. \r\n\r\nThe students in my classroom are inquisitive and creative fourth graders who attend a suburban school in Maine.\r\nMost of them love to read. I love when they groan because reading time is over. They talk about and recommend books to each other all the time. Some, however still need help finding great books to keep them excited about reading.",My students need newly published chapter books and picture books to help them maintain their excitement for reading.,17,1
Ms.,PA,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Miss Gibson's First Graders Can Succeed!,The students are 1st graders in an urban Philadelphia elementary school. My students are coming from a low-income/high poverty community that throws many challenges their way. I want to make their classroom a place of comfort where learning flows freely. They like to move and need a lot of positive attention. They have so much potential and I want to make their school experience a great one to encourage life-long learning. Their future means the world to me and I am determined to see them succeed.,My students need consistency and organization in their lives and I feel these supplies will help that in the classroom.,0,1
Ms.,PA,Grades 9-12,Math & Science,Health & Life Science,Technology Odds and Ends,"I teach biology and science in a low-income, minority district. The students in my district have very little exposure to current technology. I would really like to be able to expose them to science technology and use it to enhance their learning and improve their engagement in difficult lessons. \r\nI want to provide my students access to current technology to better prepare them for college.  My classroom has access to laptops that are more than nine years old that I use to show students virtual labs and media to enhance their learning. I would like to expose them to applications that can be found on smart devices to increase their engagement for some of the more complicated topics in biology.","My students need ink for our printer so they can continue to print lab reports and projects, they also need a cable so that they can view educational apps and videos from iDevices.",5,0
Mr.,CA,Grades 3-5,Music & The Arts,"Music, Visual Arts",Kids can express themselves through Art,My students are enthusiastic learners who enjoy learning new things everyday. They are curious and ask lots of questions because they want to learn more. They see school as a fun place where they can be challenged. My students are intelligent and need engaging activities that will unlock their full potential. \r\n\r\nOur neighborhood is underserved and infested with gangs and violence. Kids see our school as a safe haven. This does not hold students back from maximizing their full potential.,My students need watercolors and color pencils to integrate Art into our Language Arts Standards.,26,1
Ms.,CA,Grades 6-8,Literacy & Language,"Literacy, Literature & Writing",Tech for teens!,"Like the beautiful and varied flora that inhabits the California landscape, my students are a diverse group of youth that come from different socioeconomic backgrounds. \r\n\r\nMy students range in ability from those who are below grade level to those who are  gifted.  These students live in a digital world that requires 21st century technology skills and yet they have very limited access to technology. Students do not always have access to the precious resources they need to be successful in academia and life.",My students need technology to access their online textbook at any time.,0,0
Mrs.,NC,Grades 3-5,Special Needs,Special Needs,!I Supply All Your Needs!,"Hello!  Thank you for taking the time to read about my students.  We live in a very rural area in Western North Carolina.  My students come from a variety of backgrounds, which mostly includes students from socioeconomically challenged backgrounds.\r\n\r\nMy students love learning.  Even with difficult home lives or low access to supplies, my student work hard and want to learn.  With teacher and student made activities, learning is what we do.  We do not let anything stand in our way to learn!\r\n\r\nOur motto for our class is:  We will learn no matter what!!!\r\n\r\n",My students need these types of supplies as in our state teachers are not given any supply money to order common supplies.  Many students do not have the money to purchase the supplies.,1,0
Ms.,UT,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Motivational Learning Centers!!!,"The students at my school are incredible!   I have been a second grade teacher for several years in this town and am always amazed at how incredible the students truly are at our school.  The school that I teach at is amazing!  The principal, teachers, parents, and staff go above and beyond to help the 700+ students have a positive educational experience every day.  The town I teach in is located in a rural area.  The community is very caring and supportive of each other.  I often see the community helping and supporting each other. It is very inspiring to me. \r\n\r\nI am always inspired by second graders and their positive personalities.\r\nSecond graders come to class with an eagerness to learn and work hard. Often times I see second graders working together, saying kind things to others, and helping each other.  They are always a good example to me.  I want to find every way possible to continue to help motivate, encourage, teach, and inspire them.  \r\n\r\n",My students need hands-on educational literacy and math games to play during center time.,2,1
Ms.,CA,Grades 3-5,Literacy & Language,Literature & Writing,Reading to Lead!,"Our class is made up of 4th-grade students ages 9-10. We are a K-8 school and students get to collaborate not only with students in their own classroom and grade level, but with students across grade levels. Students model the 7 habits of Happy kids, being responsible leaders both in school and out in the community. These enthused learners keep up their positive attitude all year and work hard to achieve their best. The best thing I have found is they don't give up and are exceptional about working together so that every one of their peers can be successful as well.",My students need books in order to use in hope of improving reading comprehension throughout the school year.,3,0
Mrs.,AL,Grades 3-5,Math & Science,"Applied Sciences, Mathematics",Stem & Math Goodies for Mrs Long's AMAZING 3rd Graders!,"I've never had the privilege of working with such an inspiring, excited, group of young minds. My kiddos are THE BEST! They are interested in learning and can't get enough! Many of them come from a rough home life and school is their escape. I try each and every day to provide centers that will help their thinking process and skill development reach new heights. They love hands-on centers so these items would be a perfect addition to our classroom!",My students need to have every opportunity for hands on math and science experiences.,0,0
Mrs.,MI,Grades PreK-2,"Literacy & Language, Special Needs","Literacy, Special Needs",Flexible Seating for Wiggly Learners,"This year I will be teaching a Young 5's classroom. These are students who for various reasons, including late birthdays, are in need of a pre-kindergarten experience before entering a kindergarten classroom. These students are coming from a variety of socioeconomic backgrounds and have a variety of educational, social and emotional needs.  Eriksson Elementary is also home to a very culturally diverse population. Students who attend the Young 5's program will be in school for a full day, 5 days a week.",My students need flexible seating options to allow them to learn in a way that suits them.,2,0
Mr.,MO,Grades PreK-2,Music & The Arts,Music,Love to Hear Percussion!,"Many people think about learning to read, counting and recognizing shapes when envisioning early education. While reading and math are the foundation to an education, incorporating music into early childhood education can help young children with development, social interaction and language growth. It is music that brings our school together. \r\n\r\nMy K - 2 grade scholars can be found bursting with energy and excited to learn a new song or chant, but they come from educationally underserved communities where music class is often the first thing eliminated when the budget needs cutting. However, as the songwriter Jewel once said, \""some people think music education is a privilege, but I think it's essential to being human.\"" We too believe that every child should experience the joy of music. My school and I are determined to provide my students with the best musical education possible.   \r\n\r\n","My students need musical instruments such as percussion floor drums, hand drums, maracas and speakers to ensure a comprehensive early education.",0,1
Ms.,FL,Grades 9-12,Math & Science,Applied Sciences,Bringing Technology to You,My students sit and talk to me. I discovered they are from various nationalities and demographics. Some are middle class who love Technology and Business. Some students use school as a way to get out of impoverished situations.\r\n    I worked at this school going on  four years and it deems to be a good school. The faculty and staff care about educating our students. The graduation rate was extremely high for the past  years. It has a high success rate.\r\n,"My students need a  Dell Laptop, Canon Powershot and Bose Speakers.",1,0
Ms.,MD,Grades 3-5,Math & Science,Mathematics,Manipulatives Make Math Meaningful,"My students represent the diversity of Baltimore, living in 21 zip codes across the city. They come from a variety of backgrounds, neighborhoods, and life experiences. My class is a mixed-age group of fourth, fifth, and sixth graders between the ages of nine and 12. Our school is an urban public charter school serving students, chosen by lottery, between preschool through eighth grade. While our school is not a Title I school, many of the students would be considered Title 1 eligible. We are a Montessori school, which means we value student-led learning, collaboration, and peace education.","My students need math manipulatives to provide concrete experiences to help them understand abstract math ideas, as well as to make the memorization of multiplication and division facts fun and easy with Wrap Ups!",0,1
Teacher,AZ,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",KID'S CAN'T LEARN WITH SQUEAKY CHAIRS!,I teach an AP fifth grade class.  Most of my students are hispanic and low income.  We live close to the Mexican border.  This means that many students have families split between two countries. They are a hard working group that knows education is the key to a better life.  The best characteristic of my students is how well they help each other.  They do a great deal of team and partner learning.  They have such meaningful conversations and truly learn together.  The class is built on respect and integrity.,My students need ja new chairs that don't squeak so loud all day!,0,1
Ms.,NY,Grades 6-8,Literacy & Language,Literature & Writing,Get Our Group On,"I teach 6th Grade English Language Arts to a great group of kids in Brooklyn, NY.  In my 3 classes, I have English Language Learners, Special ed and general ed kids.  We all work really hard everyday to be the best readers and writers possible.\r\n\r\nOne way to improve our skills is to work in small groups.  We love to collaborate and share ideas.  The problem we have right now is that our old school desks are not very group friendly.",My students need a long rectangular table for group work in class.,230,1
Ms.,IL,Grades PreK-2,"Applied Learning, Special Needs","Early Development, Special Needs",Germ Free is What We Want to Be!,"My students are in a blended classroom that consists of a diverse crowd of Special Needs students, English Language Learners, and students from the General Education population.\r\nTheir age range is from three to five years old. As a Special Education teacher, I serve a diverse crowd of students with special needs. The students I serve are mostly African-American and Hispanic. My students come from low socioeconomic circumstances. The parents and community try their best to support these students. These students inspire me to be a better teacher and person, and I learn from them daily. The uniqueness each of my students bring to the class is unimaginable.","My students need Disinfectant Spray, Clorox Wipes, and a set of headphones to keep our students healthy and active.",28,0
Ms.,OH,Grades PreK-2,"Math & Science, Music & The Arts","Mathematics, Visual Arts",Little Builders,"Our early learning center is unique in several ways, some of the  reasons  are because the children in preschool 1 are a culturally  diverse group, they are creative, inventive, and eager to learn new things. The children that we have the privilege of teaching everyday are the reason that we love our careers. Each child brings a special unique flare to our inviting atmosphere.\r\n     We encourage our children to be the best of of themselves, to respect and accept those who maybe different then them.","My students need items such as wood, nails, and hammers to become extraordinary builders!",0,0
Mrs.,GA,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Show What You Know!,"My students become my extended family!  They are full of excitement, and they are ready to learn all they can in second grade.  I am so blessed to get to be a part of their path to learning. \r\nI have a room full of creative students. They enjoy hands-on activities that they can use to demonstrate their understanding of various concepts.  They work well together to create many interesting and lesson enhancing products.  Charts, posters, illustrations, and written summaries allow them to express themselves in ways they enjoy.",My students need paper and various  writing utensils to create exciting charts and posters to enhance and demonstrate their understanding of our lessons.,2,0
Mrs.,TX,Grades 6-8,Health & Sports,"Health & Wellness, Nutrition Education",Healthy Munchies,"My students are happy and hungry students. They are requesting healthy snacks to help them feel better throughout the day.\r\n\r\nWe are a Title One school with over 80% of our kids coming to us from low income homes. For many of our students, school is the only place that they receive real meals to eat. With healthy foods often costing more than junk food alternatives, the nutritional value of the things that they consume is often low, while their sugar and fat intake are considerably higher than they should be.","My students need pretzels, granola bars, crackers, and other healthy snack options.",8,1
Mr.,NM,Grades 9-12,History & Civics,"History & Geography, Social Sciences",Mr. Tena's 2016-2017\r\nA.P United States History,"My students are special because they are economically challenged and do not have the best home lives but they don't use that as an excuse to do poorly in school. \r\n\r\nMy school is a Title I school and our district is very poor as well. Although we do not have a lot of educational funds our faculty, staff, and students still try to achieve high levels in education. It is my goal to give my students the knowledge and skills to be the best they can be.",My students need 21st century technological resources to be better prepared for our 21st century world.,2,0
Mrs.,PA,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",Loving Literature While Learning!,"My class consists of students with very diverse educational needs; I have students who speak English as a second language and students who read anywhere from a kindergarten to a third grade level. \r\n\r\nBecoming a good reader means having an effective literacy program that offers many activities that support learning. This includes individual reading by the student, encouraging them to be more independent, and choosing books for themselves. The love of reading my students display is priceless. \r\n\r\nOur school houses almost twelve hundred students in kindergarten through fifth grade. We are an underfunded, Title 1 school, in an inner city, where many ethnicities come together to learn and explore while speaking over forty languages! The students in my second grade class are a diverse bunch. They live in a high poverty area and they all receive free breakfast and lunch. \r\n","My students need a variety of literature to expose them to different genres. Such favorites include: Looking at Lincoln, Rosie Revere: Engineer, Henry's Freedom Box,The Three Little Javelinas, Koala Lou, Fireflies, Amelia Bedelia, and Library Lion.",19,1
Mrs.,CA,Grades 9-12,Literacy & Language,"Literacy, Literature & Writing",Engaging Students with High-Interest Nonfiction,"Teachers are not the only ones who get excited about new school supplies. My students are often just as excited as I am by the smell of a freshly-sharpened pencil, the smooth feeling of a clean sheet of notebook paper, or the bright streak of a colorful highlighter moving across a line of text. \r\n\r\nI have a group of wonderful, hardworking students who, despite the struggling economy, look enthusiastically toward their future.\r\n\r\nThey are eager to learn and acquire the skills they will need to be competitive in the 21st century. Common Core literacy standards support the idea that the two most important skills students will need to be successful in the future are reading and writing. My class sizes are large, about 35-40, and our school has very limited resources, even for the most basic supplies like paper and pencils. Because of this, I often use my own money to supply my students with many of the school supplies they need to be successful throughout the year.",My students need a class set of Scholastic Upfront Magazines to develop their nonfiction reading skills.,8,1
Ms.,CA,Grades PreK-2,Health & Sports,"Health & Wellness, Nutrition Education",Life Essentials: Healthy and Hydrated,"Kindergarten is a new experience for my students who are experiencing school for the very first time!  \r\n\r\nMy students attend a high poverty Title 1 school, where 100% of the students receive free lunch.\r\n\r\nDespite challenging home lives, my students are eager and enthusiastic to learn.  My students see my classroom as a safe place, where they can receive basic essentials that many don't receive at home.  At school I can help them feel successful and help them thrive during this kindergarten year.",My students need reusable water to be able to drink clean filtered water throughout the day.,3,1
Mrs.,PA,Grades 3-5,"Health & Sports, Math & Science","Health & Wellness, Mathematics",Healthy Snacking Produces Quality Performance,"My students are hard working, determined, energetic and eager to learn.  They are culturally diverse in language, religion, ethnicity and learning styles.  They are each individual learners in their own way and together we work hard to understand things and reach our goals. \r\n\r\nWe are a Title I school which means that 100% of the students receive free breakfast & lunch.  Many of our students cannot afford basic school supplies and sometimes don't even have enough food at home.  Here at our school, we do Thanksgiving food drives and other fund raisers to help those in need.  \r\n\r\nMy students never give up despite the many obstacles they face day to day. I am very proud of all of my students and their accomplishments at such a young age.\r\n","My students need to be able to refuel throughout the day to maintain energy and focus on academics, and that's where snacking comes in.",0,1
Mrs.,MN,Grades PreK-2,Health & Sports,Health & Wellness,Learning with Flexible Seating,"My students are incredible.  I want the best for them.  I want to provide them with things that will help them grow as individuals and academically.  Our school is located in a rural town in Mid-West MN.  Over half of our students are on free or reduced meals.  \r\n\r\nMy classroom is filled with energetic, eager to learn, full of life first graders.    Their bodies are made to keep moving.  The kids in my classroom as shown me over and over again how important it is for them to keep moving to help them digest what they are learning!  When their moving bodies and minds work together you get success!  \r\n\r\n","My students need a variety of flexible seating as in stability balls, hokki stools, core discs and yoga mats to enhance their learning by being able to move their bodies.",7,0
Teacher,MD,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Successful Seating for Squirmy Second Graders,"My 2nd grade students come from all parts of the world, speak a variety of languages and bring different experiences to our class.  They are a very sweet group of kids who love helping each other and me!  As a new teacher to the school I have already had a lot to learn from them. I have been so impressed with their giving nature, ability to switch from one language to another in a matter of seconds, and thoughtfulness.  \r\n\r\n     Like most 2nd graders they are full of life, wonder and a desire to be included.  They are eager to connect with each other and learn whatever I present to them.  Their favorite times of the day are when we are sitting together sharing stories, thoughts on a book, working in groups to achieve a task, and of course any chance to wiggle or move about.  \r\n     Though we've only been together a week it is safe to say our little class has quickly become a little family.  I'm very excited for all the learning we will together do this year.",My students need different seating options; like a classroom carpet to gather on and Hokki stools for small group learning.,0,1
Ms.,FL,Grades 6-8,Math & Science,Applied Sciences,Science Notebooks,"As a teacher in a low-income/high poverty school, my students are faced with several challenges both in and out of the classroom. Despite the many challenges they face, I am looking to \r\nmaintain a classroom that engages students with hands-on experiences that will engage them throughout the school year.\r\n\r\nIn order to do this materials are needed since many students do not have basic school supplies and resources. It is important to me that they start this year out strong.\r\n",My students need lab books and writing materials to record their observations while conducting experiments in class.,0,0
Ms.,MA,Grades PreK-2,Literacy & Language,"ESL, Literacy",Developing Readers Through Listening Centers,"\""I am happy today because I get to come to school!\"" My classroom is home to 22 eager second grade students! I am a teacher in a Title One and ELL classroom. Many of my students receive free or reduced lunch. Some of my students take advantage of weekend food share bags. Despite hardships, my students are eager to learn and do their best.\r\n\r\nMy students walk into our classroom every day full of life, ready to grow their brains, and excited for what is in store for them that day. Our class motto is \""We work harder to make our brains stronger!\""",My students need a Read Along listening center to use during center time.,0,1
Mr.,CA,Grades 6-8,Music & The Arts,Visual Arts,X-Acto and the Scraper Boarders Make the Cut!,"Students in San Leandro live in a culturally diverse urban setting, with over 40 languages spoken, and approximately 1,000 students, living in extreme poverty in the East Bay. Our demographics approximately 30% White or Asian, 30% Latino, and 30% African-American. We are a Title I school with nearly 70% of our students receiving free or reduced lunches. \r\n\r\nBancroft scholars are artistically talented and tech savvy. One area of specialization at our site is Graphic/Digital Arts. I am the instructor and instruct two sections of a Graphic Arts Class in our  lab.  I also teach After-school Enrichment courses such as Web Design and Fine Art, and am the Yearbook supervisor. \r\n\r\nWe have a computer lab where students have access to a local and worldwide network. We are building pathways at the secondary level to prepare students for specialized academies at the high school level, such as Math and Engineering and Technology, Visual Arts and Multimedia, Social Justice and Business. \r\n\r\n\r\n","My students need Essdee scratchboard, No. 16 X-Acto blades, Stratchboard Tools and replacement blades for the their use with mixed-media illustrations, using pen and ink on scratchboard.",12,1
Mr.,AL,Grades 9-12,Health & Sports,Team Sports,"Hey, Batter Batter","Our school is situated in a low-income/high-poverty school district.  The students are faced with several challenges both in and out of the classroom.  Despite the many challenges they face, they continue to dream, set goals, and work hard.  Many students are being raised in single-parent households and free/reduced lunch is at 96% for the school.\r\nI might just have some of the hardest working students and athletes in the state of Alabama. I push them daily to become the best they can be, and they continue to strive for excellence. \r\nWith the revitalization of the baseball program, we are having guys come out that might not necessarily play other sports within our school. For the guys that do play other sports, this gives them the opportunity to stay involved in a positive program after school.","My students need bats, batting gloves, and a new batting tee.",2,1
Ms.,MN,Grades 3-5,"Math & Science, Literacy & Language","Environmental Science, Literature & Writing",Organized and Ready to Learn,"We are curious, energetic, and ready to explore the world around us. As much as possible we get outside, engage with the community and actively participate in our neighborhood.  \r\n\r\nWe are a diverse community of learners with most students speaking at least two languages.  In addition, 99% of the students at our school qualify for free or reduced lunch and 96% of the students are students of color.  \r\n\r\nWe see our diversity as an asset and work  hard every day to ensure that we are college and career ready. We know that to be informed and engaged citizens we must be critical thinkers and exposed to a variety of experiences, thoughts, and texts.",My students need help with organizing materials!  Without them a lot of time is wasted.  Students need the Classic Birch All Purpose Storage Tray Center so they can access their materials quickly.,16,0
Mrs.,MI,Grades 3-5,"Math & Science, Special Needs","Mathematics, Special Needs",Technology to Title 1 Math,"\r\nRaise your hand if you love math! Why does no one ever raise their hands? Help me help students learn to LOVE math with fun, interactive learning!\r\n\r\nYou know that feeling when you just don't \""get\"" something?\r\nThat's the feeling most of my kiddos have on a daily basis. Help me overcome this obstacle and create problem-solving mathematicians! I teach in a high-need Title I school. I am the math interventionist for the entire school, grades K-4, so I work with the kids who are struggling the most. I have access to great math intervention programs online, but my students to not have the technology to access these programs. Many of my students are without technology and Internet access at home for both economic and geographical reasons, so accessing these programs at school is their only option.\r\n",My students need 5 computers with mice and headphones to be able to access technology and math intervention programs during intervention time.,1,1
Ms.,UT,Grades 3-5,"Literacy & Language, Math & Science","Literacy, Mathematics",Sharing My iPad With Excited Learners!,"My classroom includes a diverse populations of students with a wide range of abilities. Some have been identified has having a disability, while others have been identified as high-ability learners. \r\n\r\n I try to incorporate as much technology into my instruction as possible because my class is familiar with it and it increases their engagement.  I have an iPad but I want it to be more accessible to students and I don't want to be tied to one place.  I want to be able to roam around the room monitoring student engagement.\r\n\r\n",My students need to be able to see me manipulating my iPad in order to facilitate learning.,0,0
Mrs.,OH,Grades 3-5,Math & Science,Applied Sciences,Interactive notebooks for success!,"I have 120 students of varying ability levels. I do a great deal of differentiating to give each student or group what they need in order to learn and be successful. My students look forward to Science because they can learn while having fun. \r\n\r\nMost of my homeroom students are struggling readers and are on IEPs.  The majority of our students are high poverty and do not have the necessary supplies needed for school. Being able to provide these students with as many lab and interactive experiences as possible is very important to me. I see how engaged they are when we are doing labs. I want to be able to provide them with as many of these experiences as possible, but without the necessary supplies it is very difficult to do so.","My students need notebooks, scissors, and glue sticks. These will be used for interactive notebooks in my Science classroom.",2,1
